sija;hinta_sis_alv;hinta_alv0;urakkasumma_alv0;materiaalit_osto_alv0;materiaalit_alv0;laudoitus;raystas;homeenesto;maalinpoisto;pohjamaalaus;varinvaihto;maasto;korkeus;seinapinta_m2;maalit_l;tyo_h;kesto_pv
198;5838,52;4652,20;1985,97;637,91;478,44;Panelointi;Avoräystäs;kyllä;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;174,50;45,53;62,92;3,93
199;5842,32;4655,23;1977,57;651,61;488,71;Panelointi;Umpiräystäs;kyllä;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;174,50;44,37;62,66;3,92
200;5846,55;4658,60;2006,44;615,89;461,92;Rimalaudoitus;Avoräystäs;kyllä;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;187,59;39,75;63,57;3,97
201;5851,58;4662,61;2035,04;581,06;435,79;Rimalaudoitus;Umpiräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Keskitaso;187,59;38,59;64,48;4,03
202;5858,28;4667,95;1951,23;697,19;522,89;Panelointi;Umpiräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;52,21;61,82;3,86
203;5862,83;4671,58;1949,37;702,66;526,99;Rimalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;187,59;55,44;61,76;3,86
204;5864,23;4672,69;2005,71;628,46;471,35;Lomalaudoitus;Umpiräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;218,13;43,39;63,55;3,97
205;5864,23;4672,69;2005,71;628,46;471,35;Lomalaudoitus;Umpiräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;218,13;43,39;63,55;3,97
206;5866,06;4674,15;2042,16;581,06;435,79;Rimalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Korkea;187,59;38,59;64,70;4,04
207;5867,02;4674,92;2018,69;612,99;459,74;Panelointi;Avoräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;174,50;45,53;63,96;4,00
208;5867,02;4674,92;2018,69;612,99;459,74;Panelointi;Avoräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;174,50;45,53;63,96;4,00
209;5873,88;4680,38;2023,48;611,10;458,32;Panelointi;Umpiräystäs;ei;Helppo, 4 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;174,50;36,54;64,11;4,01
210;5874,34;4680,75;2033,98;597,40;448,05;Panelointi;Avoräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;174,50;37,69;64,44;4,03
211;5874,97;4681,25;2002,57;639,70;479,77;Lomalaudoitus;Avoräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;218,13;44,55;63,45;3,97
212;5874,97;4681,25;2002,57;639,70;479,77;Lomalaudoitus;Avoräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;218,13;44,55;63,45;3,97
213;5878,97;4684,43;2040,09;592,29;444,22;Rimalaudoitus;Avoräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Lievä rinne;Korkea;187,59;39,75;64,64;4,04
214;5886,30;4690,28;1990,79;662,84;497,13;Panelointi;Avoräystäs;ei;Vaikea, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;174,50;45,53;63,07;3,94
215;5887,73;4691,42;1966,12;696,68;522,51;Lomalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;218,13;54,34;62,29;3,89
216;5899,40;4700,71;2004,14;653,66;490,24;Rimalaudoitus;Umpiräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;187,59;47,02;63,50;3,97
217;5899,40;4700,71;2004,14;653,66;490,24;Rimalaudoitus;Umpiräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;187,59;47,02;63,50;3,97
218;5899,41;4700,72;2030,07;619,09;464,32;Rimalaudoitus;Avoräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;187,59;39,75;64,32;4,02
219;5899,41;4700,72;2030,07;619,09;464,32;Rimalaudoitus;Avoräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;187,59;39,75;64,32;4,02
220;5901,90;4702,71;1991,42;672,26;504,20;Panelointi;Umpiräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;52,21;63,09;3,94
221;5901,98;4702,78;2028,91;622,33;466,75;Panelointi;Avoräystäs;ei;Helppo, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;174,50;37,69;64,28;4,02
222;5911,87;4710,65;2024,54;634,65;475,99;Rimalaudoitus;Umpiräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;187,59;38,59;64,14;4,01
223;5911,87;4710,65;2024,54;634,65;475,99;Rimalaudoitus;Umpiräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;187,59;38,59;64,14;4,01
224;5912,66;4711,29;2022,02;638,53;478,90;Lomalaudoitus;Avoräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Korkea;218,13;44,55;64,06;4,00
225;5912,66;4711,29;2022,02;638,53;478,90;Lomalaudoitus;Avoräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;218,13;44,55;64,06;4,00
226;5914,94;4713,10;2043,72;611,10;458,32;Panelointi;Umpiräystäs;kyllä;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;174,50;36,54;64,75;4,05
